TV_news_time,news_paper_time,int_news_time,TV_debate,read_media,like_media,share_media,comment_media,int_discuss,read_election_news,read_election_leaflet,convince,campaign,volunteer,election_mayor,election_18,sex,age,ethnic,edu,income,pk_1,pk_2,pk_3,political_knowledge,anti_1,anti_2,anti_3,anti_4,anti_5,TC_issue,Negative_1,Negative_2,Negative_3,online_pp,offline_pp,anti_party,online_media_pp_mean,voting_mean,offline_media_pp_mean,campaign_worker_pp_mean,online_media_pp_score,voting_score,offline_media_pp_score,campaign_worker_pp_score,onlnie_scores,offlnie_scores,political_polarization_mean,party_image_mean,political_polarization_score,party_image_score,anti_party_scores
1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,1,本省閩南人,4,1.0,1,1,0,2,5,5,5,5,4,2,轉而支持其他候選人,轉而支持其他候選人,轉而支持其他候選人,1.4444444444444444,1.8571428571428572,4.8,1.75,4.0,1.0,1.0,0.4013266952337954,1.0906736245929252,-1.3265415996558523,-0.4080409203013081,0.16085696446703163,-0.05479920238030895,5.0,4.666666666666667,1.1473084224488723,1.0391964999907335,1.103527844110348
1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1,其他,4,3.0,1,1,0,2,4,4,4,5,4,4,沒有影響,沒有影響,沒有影響,1.4444444444444444,1.4285714285714286,4.2,1.75,1.0,2.5,1.0,0.17403873552777063,-1.5038066400055095,0.263617922194315,-0.41315885473709546,0.038859767367364136,-0.7567289655810375,4.0,4.333333333333333,0.9213842886124297,-0.1096862159141217,0.5038460377923579
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1,本省閩南人,3,1.0,1,1,1,3,5,4,5,2,2,4,沒有影響,轉而支持其他候選人,轉而支持其他候選人,1.3333333333333333,1.4285714285714286,3.6,1.5,2.0,1.0,1.0,0.2685081169062086,-0.493079128532975,-1.0694078311352466,-0.3140894032647616,-0.007585385493312741,-0.7158224439243861,5.0,3.0,-0.7942362798838404,1.1762956010378165,0.003742550014912881
1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,0.0,1,本省閩南人,3,2.0,1,1,1,3,4,4,2,2,1,4,沒有影響,沒有影響,轉而支持其他候選人,1.7777777777777777,2.857142857142857,2.6,2.0,4.0,3.5,1.0,0.6146511612987922,0.7563388201541759,0.8261831713146568,-0.46053673515060867,0.5352015561247389,0.6579810033005147,4.0,1.6666666666666667,-1.4309421737691965,0.05754070943252604,-0.8281720075204344
1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1,本省閩南人,3,1.0,1,1,1,3,2,5,4,5,5,2,轉而支持其他候選人,轉而支持其他候選人,沒有影響,1.6666666666666667,2.142857142857143,4.2,2.0,3.0,2.5,1.0,1.106973805062829,0.23041519324693183,-0.2995751190754976,-0.6098315373675772,0.45485111574741527,-0.01967010450651167,2.0,4.666666666666667,1.184414410921554,-2.445558157860936,-0.2855649845129448
1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1,原住民,3,4.0,1,1,1,3,4,4,2,2,2,5,沒有影響,沒有影響,沒有影響,1.5555555555555556,2.2857142857142856,2.8,1.75,4.0,2.5,1.0,0.002426160494164168,0.8915989848862447,0.20101068468303052,-0.3538760812309032,0.1833016138597801,0.30839205989301494,4.0,2.0,-1.3186066921318047,0.05055458028369466,-0.7641565354594877
1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,本省閩南人,4,1.0,1,1,1,3,1,5,5,5,2,1,轉而支持其他候選人,轉而支持其他候選人,沒有影響,1.8888888888888888,1.0,3.6,2.0,1.0,1.0,1.0,1.187319248241953,-1.450827674434331,-0.8677982120405534,-0.14233297951283533,0.7038555445901785,-1.119920227854361,1.0,4.0,1.0719784255510059,-3.6006135243888,-0.8202160083007044
1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,本省閩南人,3,1.0,1,0,1,2,4,4,4,4,4,4,沒有影響,沒有影響,沒有影響,1.2222222222222223,1.8571428571428572,4.0,1.25,1.0,4.0,1.0,-0.7707946426259591,-1.6752587846612617,1.5668618379616746,-0.21534854138559625,-0.20806178193368854,-0.38652779004668725,4.0,4.0,0.3744344280875447,-0.06930882548410991,0.19473790772728736
1.0,1.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,0.0,1,臺灣人,4,3.0,1,1,1,3,4,5,4,2,2,4,沒有影響,沒有影響,轉而支持其他候選人,2.5555555555555554,2.4285714285714284,3.4,2.5,1.0,4.0,3.0,1.4555573545456837,-2.184607833092384,2.2753748747213995,2.095284655160188,1.5658141060780588,0.6622999621634779,4.0,2.6666666666666665,-0.8681120987537352,0.023423542214191934,-0.507079336746417
1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,0.0,1,本省閩南人,3,4.0,1,1,1,3,5,5,1,4,4,4,轉而支持其他候選人,沒有影響,沒有影響,1.3333333333333333,2.4285714285714284,3.8,1.25,4.0,3.0,1.0,-0.687443267121759,0.90515669668247,0.5265088244800924,-0.23797671215193794,-0.2755802831605762,0.42711917623044743,5.0,3.0,-0.14858230986560442,1.1298466236409817,0.36912523617579635
